"term_id","domain","term_type","zh_source","en_draft","es_draft","fr_draft","de_draft","it_draft","pt_draft","ru_draft","tr_draft","source_files","status","notes"
"G011","manual","interface","USB接口","USB Port","Puerto USB","Port USB","USB-Anschluss","Porta USB","Porta USB","Порт USB","USB portu","EHBT-50 manual; glossary.ts","draft_for_review","Keep USB locked."
"G012","manual","interface","网口RJ45接口","RJ45 Ethernet Port","Puerto Ethernet RJ45","Port Ethernet RJ45","RJ45-Ethernet-Anschluss","Porta Ethernet RJ45","Porta Ethernet RJ45","Порт Ethernet RJ45","RJ45 Ethernet portu","EHBT-50 manual; EHBT-75 manual","draft_for_review","Keep RJ45 locked."
"G013","manual","interface","EH-BUS接口","EH-BUS Port","Puerto EH-BUS","Port EH-BUS","EH-BUS-Anschluss","Porta EH-BUS","Porta EH-BUS","Порт EH-BUS","EH-BUS portu","EHBT-75 manual; glossary.ts","draft_for_review","Brand/interface token should stay EH-BUS."
"G014","manual","qc","质控品","Quality Control (QC) Material","Material de control de calidad (QC)","Materiau de controle qualite (QC)","Qualitatskontrollmaterial (QC)","Materiale di controllo qualita (QC)","Material de controle de qualidade (QC)","Материал контроля качества (QC)","Kalite kontrol (QC) materyali","QC IFU; glossary.ts","draft_for_review","May be normalized to 'control material' in final review."
"G015","manual","qc","试剂盒","Reagent Kit","Kit de reactivos","Kit de reactifs","Reagenzien-Kit","Kit di reagenti","Kit de reagentes","Набор реагентов","Reaktif kiti","QC IFU; glossary.ts","draft_for_review","Use as product-form term."
"G016","manual","section","检测原理","Principle of Detection","Principio de deteccion","Principe de detection","Nachweisprinzip","Principio di rilevazione","Principio de deteccao","Принцип определения","Tespit prensibi","QC IFU","draft_for_review","Section heading."
"G017","manual","section","主要成分","Main Ingredients","Ingredientes principales","Composants principaux","Hauptbestandteile","Componenti principali","Principais componentes","Основные компоненты","Ana bilesenler","QC IFU","draft_for_review","Section heading."
"G018","manual","section","贮存条件","Storage Conditions","Condiciones de almacenamiento","Conditions de stockage","Lagerbedingungen","Condizioni di conservazione","Condicoes de armazenamento","Условия хранения","Saklama kosullari","QC IFU","draft_for_review","Section heading."
"G019","manual","section","适用机型","Applicable Devices","Equipos aplicables","Appareils applicables","Geeignete Gerate","Dispositivi applicabili","Equipamentos aplicaveis","Подходящие приборы","Uygun cihazlar","QC IFU","draft_for_review","Section heading."
"G020","manual","section","样本要求","Sample Requirements","Requisitos de la muestra","Exigences relatives a l'echantillon","Anforderungen an die Probe","Requisiti del campione","Requisitos da amostra","Требования к образцу","Numune gereksinimleri","QC IFU","draft_for_review","Section heading."
"G021","manual","section","测试步骤","Test Procedure","Procedimiento de prueba","Procedure de test","Testverfahren","Procedura di prova","Procedimento de teste","Процедура тестирования","Test proseduru","QC IFU","draft_for_review","Section heading."
"G022","manual","section","性能","Performance","Rendimiento","Performance","Leistungsmerkmale","Prestazioni","Desempenho","Эксплуатационные характеристики","Performans","QC IFU","draft_for_review","Section heading."
"G023","manual","section","注意事项","Notes","Notas","Remarques","Hinweise","Note","Observacoes","Примечания","Notlar","QC IFU; manuals","draft_for_review","May also be 'Precautions' depending on context."
"G024","manual","regulatory","批次号","Lot Number","Numero de lote","Numero de lot","Chargennummer","Numero di lotto","Numero do lote","Номер партии","Lot numarasi","QC IFU; glossary.ts","draft_for_review","Label translation; LOT remains locked."
"G025","manual","regulatory","生产日期","Date of Manufacture","Fecha de fabricacion","Date de fabrication","Herstellungsdatum","Data di fabbricazione","Data de fabricacao","Дата изготовления","Uretim tarihi","QC IFU","draft_for_review","Regulatory label."
"G026","manual","regulatory","有效期","Use-by Date","Fecha de caducidad","Date limite d'utilisation","Verwendbar bis","Data di scadenza","Data de validade","Срок годности","Son kullanma tarihi","QC IFU","draft_for_review","For symbol section this maps to shelf-life label."
"G027","manual","regulatory","欧盟授权代表","Authorized Representative in the European Union","Representante autorizado en la Union Europea","Representant autorise dans l'Union europeenne","Bevollmachtigter in der Europaischen Union","Rappresentante autorizzato nell'Unione europea","Representante autorizado na Uniao Europeia","Уполномоченный представитель в Европейском союзе","Avrupa Birligi yetkili temsilcisi","QC IFU","draft_for_review","Regulatory label."
"G028","cross","quality","参考范围","Reference Range","Rango de referencia","Intervalle de reference","Referenzbereich","Intervallo di riferimento","Intervalo de referencia","Референсный диапазон","Referans araligi","AI reports; glossary.ts","draft_for_review","Use same term across reports."
"G029","cross","preanalytics","抗凝剂","Anticoagulant (EDTA)","Anticoagulante (EDTA)","Anticoagulant (EDTA)","Antikoagulans (EDTA)","Anticoagulante (EDTA)","Anticoagulante (EDTA)","Антикоагулянт (EDTA)","Antikoagulan (EDTA)","QC IFU; glossary.ts","draft_for_review","Term plus common abbreviation."
"G030","report","panel","血常规检测","Complete Blood Count (CBC)","Hemograma completo (CBC)","Hemogramme complet (CBC)","Grosses Blutbild (CBC)","Emocromo completo (CBC)","Hemograma completo (CBC)","Общий анализ крови (CBC)","Tam kan sayimi (CBC)","AI reports; glossary.ts","draft_for_review","Reviewer should confirm whether local market keeps CBC acronym."
"G031","report","analyte","白细胞","White Blood Cell (WBC)","Leucocito (WBC)","Leucocyte (WBC)","Weisse Blutkorperchen (WBC)","Leucocita (WBC)","Leucocito (WBC)","Лейкоцит (WBC)","Lokosit (WBC)","AI reports; glossary.ts","draft_for_review","Keep WBC abbreviation."
"G032","report","analyte","中性粒细胞","Neutrophils (NEU#)","Neutrofilos (NEU#)","Neutrophiles (NEU#)","Neutrophile Granulozyten (NEU#)","Neutrofili (NEU#)","Neutrofilos (NEU#)","Нейтрофилы (NEU#)","Notrofiller (NEU#)","AI reports","draft_for_review","Absolute-count abbreviation locked."
"G033","report","analyte","淋巴细胞","Lymphocytes (LYM#)","Linfocitos (LYM#)","Lymphocytes (LYM#)","Lymphozyten (LYM#)","Linfociti (LYM#)","Linfocitos (LYM#)","Лимфоциты (LYM#)","Lenfositler (LYM#)","AI reports","draft_for_review","Absolute-count abbreviation locked."
"G034","report","analyte","单核细胞","Monocytes (MON#)","Monocitos (MON#)","Monocytes (MON#)","Monozyten (MON#)","Monociti (MON#)","Monocitos (MON#)","Моноциты (MON#)","Monositler (MON#)","AI reports","draft_for_review","Absolute-count abbreviation locked."
"G035","report","analyte","嗜酸性粒细胞","Eosinophils (EOS#)","Eosinofilos (EOS#)","Eosinophiles (EOS#)","Eosinophile Granulozyten (EOS#)","Eosinofili (EOS#)","Eosinofilos (EOS#)","Эозинофилы (EOS#)","Eozinofiller (EOS#)","AI reports","draft_for_review","Absolute-count abbreviation locked."
"G036","report","analyte","嗜碱性粒细胞","Basophils (BAS#)","Basofilos (BAS#)","Basophiles (BAS#)","Basophile Granulozyten (BAS#)","Basofili (BAS#)","Basofilos (BAS#)","Базофилы (BAS#)","Bazofiller (BAS#)","AI reports","draft_for_review","Absolute-count abbreviation locked."
"G037","report","analyte","异常淋巴细胞","Atypical Lymphocytes (ALY#)","Linfocitos atipicos (ALY#)","Lymphocytes atypiques (ALY#)","Atypische Lymphozyten (ALY#)","Linfociti atipici (ALY#)","Linfocitos atipicos (ALY#)","Атипичные лимфоциты (ALY#)","Atipik lenfositler (ALY#)","AI reports; glossary.ts","draft_for_review","Needs medical reviewer sign-off."
"G038","report","analyte","红细胞","Red Blood Cell (RBC)","Eritrocito (RBC)","Globule rouge (RBC)","Erythrozyt (RBC)","Eritrocita (RBC)","Eritrocito (RBC)","Эритроцит (RBC)","Eritrosit (RBC)","AI reports; glossary.ts","draft_for_review","Keep RBC abbreviation."
"G039","report","analyte","血红蛋白","Hemoglobin (HGB)","Hemoglobina (HGB)","Hemoglobine (HGB)","Hamoglobin (HGB)","Emoglobina (HGB)","Hemoglobina (HGB)","Гемоглобин (HGB)","Hemoglobin (HGB)","AI reports; glossary.ts","draft_for_review","Keep HGB abbreviation."
"G040","report","analyte","红细胞压积","Hematocrit (HCT)","Hematocrito (HCT)","Hematocrite (HCT)","Hamokrit (HCT)","Ematocrito (HCT)","Hematocrito (HCT)","Гематокрит (HCT)","Hematokrit (HCT)","AI reports; glossary.ts","draft_for_review","Keep HCT abbreviation."
"G041","report","analyte","平均红细胞体积","Mean Corpuscular Volume (MCV)","Volumen corpuscular medio (MCV)","Volume globulaire moyen (MCV)","Mittleres korpuskulares Volumen (MCV)","Volume corpuscolare medio (MCV)","Volume corpuscular medio (MCV)","Средний объем эритроцита (MCV)","Ortalama eritrosit hacmi (MCV)","AI reports; glossary.ts","draft_for_review","Keep MCV abbreviation."
"G042","report","analyte","平均红细胞血红蛋白含量","Mean Corpuscular Hemoglobin (MCH)","Hemoglobina corpuscular media (MCH)","Hemoglobine corpusculaire moyenne (MCH)","Mittleres korpuskulares Hamoglobin (MCH)","Emoglobina corpuscolare media (MCH)","Hemoglobina corpuscular media (MCH)","Среднее содержание гемоглобина в эритроците (MCH)","Ortalama korpuskuler hemoglobin (MCH)","AI reports; glossary.ts","draft_for_review","Keep MCH abbreviation."
"G043","report","analyte","平均红细胞血红蛋白浓度","Mean Corpuscular Hemoglobin Concentration (MCHC)","Concentracion de hemoglobina corpuscular media (MCHC)","Concentration corpusculaire moyenne en hemoglobine (MCHC)","Mittlere korpuskulare Hamoglobinkonzentration (MCHC)","Concentrazione corpuscolare media di emoglobina (MCHC)","Concentracao de hemoglobina corpuscular media (MCHC)","Средняя концентрация гемоглобина в эритроцитах (MCHC)","Ortalama korpuskuler hemoglobin konsantrasyonu (MCHC)","AI reports; glossary.ts","draft_for_review","Keep MCHC abbreviation."
"G044","report","analyte","血小板","Platelet (PLT)","Plaqueta (PLT)","Plaquette (PLT)","Thrombozyt (PLT)","Piastrina (PLT)","Plaqueta (PLT)","Тромбоцит (PLT)","Trombosit (PLT)","AI reports; glossary.ts","draft_for_review","Keep PLT abbreviation."
"G045","report","analyte","网织红细胞","Reticulocytes","Reticulocitos","Reticulocytes","Retikulozyten","Reticolociti","Reticulocitos","Ретикулоциты","Retikulositler","AI reports; glossary.ts","draft_for_review","Reviewer may prefer adding abbreviation if used locally."
"G046","report","analyte","网织红细胞比率","Reticulocyte Percentage","Porcentaje de reticulocitos","Pourcentage de reticulocytes","Retikulozytenanteil","Percentuale di reticolociti","Percentual de reticulocitos","Процент ретикулоцитов","Retikulosit yuzdesi","AI reports; glossary.ts","draft_for_review","Existing English term already present in project glossary."
"G047","report","analyte","影红细胞","Ghost Cells","Eritrocitos fantasma","Cellules fantomes","Geisterzellen","Cellule fantasma","Celulas fantasma","Эритроциты-тени","Hayalet hucreler","AI reports; glossary.ts","draft_for_review","Needs reviewer confirmation for laboratory usage."
"G048","report","analyte","球形红细胞","Spherocytes","Esferocitos","Spherocytes","Spharozyten","Sferociti","Esferocitos","Сфероциты","Sferositler","AI reports; glossary.ts","draft_for_review","Medical reviewer should confirm localized common term."
"G049","report","pathology","血液浓缩","Hemoconcentration","Hemoconcentracion","Hemoconcentration","Hamokonzentration","Emoconcentrazione","Hemoconcentracao","Гемоконцентрация","Hemokonsantrasyon","AI reports; glossary.ts","draft_for_review","Common interpretive term."
"G050","report","pathology","溶血","Hemolysis","Hemolisis","Hemolyse","Hamolyse","Emolisi","Hemolise","Гемолиз","Hemoliz","AI reports; glossary.ts","draft_for_review","Common interpretive term."
"G051","report","pathology","免疫介导性溶血性贫血","Immune-Mediated Hemolytic Anemia (IMHA)","Anemia hemolitica inmunomediada (IMHA)","Anemie hemolytique a mediation immunitaire (IMHA)","Immunvermittelte hamolytische Anamie (IMHA)","Anemia emolitica immunomediata (IMHA)","Anemia hemolitica imunomediada (IMHA)","Иммуноопосредованная гемолитическая анемия (IMHA)","Immun aracili hemolitik anemi (IMHA)","AI reports; glossary.ts","draft_for_review","High-risk clinical term; reviewer validation required."
"G052","report","pathology","大细胞性贫血","Macrocytic Anemia","Anemia macrocitica","Anemie macrocytaire","Makrozytare Anamie","Anemia macrocitica","Anemia macrocitica","Макроцитарная анемия","Makrositik anemi","AI reports; glossary.ts","draft_for_review","Clinical interpretation term."
"G053","report","pathology","小细胞性贫血","Microcytic Anemia","Anemia microcitica","Anemie microcytaire","Mikrozytare Anamie","Anemia microcitica","Anemia microcitica","Микроцитарная анемия","Mikrositik anemi","AI reports; glossary.ts","draft_for_review","Clinical interpretation term."
"G054","report","pathology","骨髓增生异常综合征","Myelodysplastic Syndrome (MDS)","Sindrome mielodisplasico (MDS)","Syndrome myelodysplasique (MDS)","Myelodysplastisches Syndrom (MDS)","Sindrome mielodisplastica (MDS)","Sindrome mielodisplasica (MDS)","Миелодиспластический синдром (MDS)","Miyelodisplastik sendrom (MDS)","AI reports; glossary.ts","draft_for_review","Keep MDS abbreviation."
"G055","report","pathology","真性红细胞增多症","Polycythemia Vera","Policitemia vera","Polyglobulie primitive","Polycythaemia vera","Policitemia vera","Policitemia vera","Истинная полицитемия","Polisitemia vera","AI reports; glossary.ts","draft_for_review","Reviewer should confirm market-preferred term in French."
"G056","cross","visualization","直方图","Histogram","Histograma","Histogramme","Histogramm","Istogramma","Histograma","Гистограмма","Histogram","AI reports; glossary.ts","draft_for_review","Common UI/report term."
"G057","cross","qc","靶值","Target Value","Valor objetivo","Valeur cible","Sollwert","Valore target","Valor-alvo","Целевое значение","Hedef deger","QC/report; glossary.ts","draft_for_review","Use in QC context."
"G058","cross","qc","校准系数","Calibration Factor","Factor de calibracion","Facteur d'etalonnage","Kalibrierfaktor","Fattore di calibrazione","Fator de calibracao","Коэффициент калибровки","Kalibrasyon katsayisi","QC/report; glossary.ts","draft_for_review","Use in QC / settings context."
"G059","cross","informatics","LIS连接","LIS Connection","Conexion LIS","Connexion LIS","LIS-Verbindung","Connessione LIS","Conexao LIS","Подключение LIS","LIS baglantisi","manual; glossary.ts","draft_for_review","Keep LIS abbreviation locked."
"G060","cross","qc","LJ质控图","Levey-Jennings Chart","Grafico de Levey-Jennings","Graphique de Levey-Jennings","Levey-Jennings-Diagramm","Grafico di Levey-Jennings","Grafico de Levey-Jennings","График Леви-Дженнингса","Levey-Jennings grafigi","QC/report; glossary.ts","draft_for_review","Eponym should remain unchanged."
"G061","manual","section","知识产权","Intellectual Property","Propiedad intelectual","Propriete intellectuelle","Geistiges Eigentum","Proprieta intellettuale","Propriedade intelectual","Интеллектуальная собственность","Fikri mulkiyet","EHBT-50 manual; EHBT-75 manual","draft_for_review","Common manual heading."
"G062","manual","section","声明","Statement","Declaracion","Declaration","Erklarung","Dichiarazione","Declaracao","Заявление","Beyan","EHBT-50 manual; EHBT-75 manual","draft_for_review","Manual heading for legal statement section."
"G063","manual","section","保修及维修服务","Warranty and Maintenance Service","Garantia y servicio de mantenimiento","Garantie et service de maintenance","Garantie und Wartungsservice","Garanzia e servizio di manutenzione","Garantia e servico de manutencao","Гарантия и сервисное обслуживание","Garanti ve bakim hizmeti","EHBT-50 manual; EHBT-75 manual","draft_for_review","After-sales section heading."
"G064","manual","section","售后服务单位","After-sales Service Provider","Proveedor de servicio posventa","Prestataire de service apres-vente","Kundendienstanbieter","Fornitore del servizio post-vendita","Prestador de servico pos-venda","Поставщик послепродажного обслуживания","Satis sonrasi hizmet saglayicisi","EHBT-50 manual; EHBT-75 manual","draft_for_review","Service contact heading."
"G065","manual","identifier_label","服务地址","Service Address","Direccion de servicio","Adresse de service","Serviceadresse","Indirizzo di servizio","Endereco de servico","Адрес сервисной службы","Servis adresi","EHBT-50 manual; EHBT-75 manual","draft_for_review","Contact label."
"G066","manual","identifier_label","邮政编码","Postal Code","Codigo postal","Code postal","Postleitzahl","Codice postale","Codigo postal","Почтовый индекс","Posta kodu","EHBT-50 manual; EHBT-75 manual","draft_for_review","Contact label."
"G067","manual","identifier_label","服务热线","Service Hotline","Linea de atencion","Ligne d'assistance","Service-Hotline","Linea di assistenza","Linha de servico","Горячая линия","Servis hatti","EHBT-50 manual","draft_for_review","Contact label."
"G068","report","section","升高/降低","Increase/Decrease","Aumento/Disminucion","Augmentation/Diminution","Erhohung/Verringerung","Aumento/Diminuzione","Aumento/Reducao","Повышение/Снижение","Artis/Azalis","BA212/BA512 AI reports","draft_for_review","Common report table heading."
"G069","report","section","临床提示","Clinical Indication","Indicacion clinica","Indication clinique","Klinischer Hinweis","Indicazione clinica","Indicacao clinica","Клиническая подсказка","Klinik ipucu","BA212/BA512 AI reports","draft_for_review","Common report table heading."
"G070","report","section","判断依据","Interpretation Basis","Base de interpretacion","Base d'interpretation","Interpretationsgrundlage","Base di interpretazione","Base de interpretacao","Основание для интерпретации","Yorumlama temeli","BA212/BA512 AI reports","draft_for_review","Common report table heading."
"G071","report","analyte","白细胞总数","Total White Blood Cell Count (WBC)","Recuento total de leucocitos (WBC)","Nombre total de leucocytes (WBC)","Gesamtleukozytenzahl (WBC)","Conta totale dei leucociti (WBC)","Contagem total de leucocitos (WBC)","Общее количество лейкоцитов (WBC)","Toplam beyaz kan hucresi sayisi (WBC)","BA512 veterinary AI reports","draft_for_review","BA512 header wording."
"G072","report","analyte","中性粒细胞总数","Total Neutrophil Count (NEU)","Recuento total de neutrofilos (NEU)","Nombre total de neutrophiles (NEU)","Gesamtzahl der Neutrophilen (NEU)","Conta totale dei neutrofili (NEU)","Contagem total de neutrofilos (NEU)","Общее количество нейтрофилов (NEU)","Toplam notrofil sayisi (NEU)","BA512 veterinary AI reports","draft_for_review","BA512 header wording."
"G073","report","analyte","淋巴细胞总数","Total Lymphocyte Count (LYM)","Recuento total de linfocitos (LYM)","Nombre total de lymphocytes (LYM)","Gesamtzahl der Lymphozyten (LYM)","Conta totale dei linfociti (LYM)","Contagem total de linfocitos (LYM)","Общее количество лимфоцитов (LYM)","Toplam lenfosit sayisi (LYM)","BA512 veterinary AI reports","draft_for_review","BA512 header wording."
"G074","report","analyte","单核细胞总数","Total Monocyte Count (MON)","Recuento total de monocitos (MON)","Nombre total de monocytes (MON)","Gesamtzahl der Monozyten (MON)","Conta totale dei monociti (MON)","Contagem total de monocitos (MON)","Общее количество моноцитов (MON)","Toplam monosit sayisi (MON)","BA512 veterinary AI reports","draft_for_review","BA512 header wording."
"G075","report","analyte","嗜酸性粒细胞总数","Total Eosinophil Count (EOS#)","Recuento total de eosinofilos (EOS#)","Nombre total d'eosinophiles (EOS#)","Gesamtzahl der Eosinophilen (EOS#)","Conta totale degli eosinofili (EOS#)","Contagem total de eosinofilos (EOS#)","Общее количество эозинофилов (EOS#)","Toplam eozinofil sayisi (EOS#)","BA512 veterinary AI reports","draft_for_review","BA512 header wording."
"G076","report","analyte","嗜碱性粒细胞总数","Total Basophil Count (BAS#)","Recuento total de basofilos (BAS#)","Nombre total de basophiles (BAS#)","Gesamtzahl der Basophilen (BAS#)","Conta totale dei basofili (BAS#)","Contagem total de basofilos (BAS#)","Общее количество базофилов (BAS#)","Toplam bazofil sayisi (BAS#)","BA512 veterinary AI reports","draft_for_review","BA512 header wording."
"G077","report","pathology","应激反应","Stress Response","Respuesta al estres","Reponse au stress","Stressreaktion","Risposta allo stress","Resposta ao estresse","Стрессовая реакция","Stres yaniti","BA212/BA512 AI reports","draft_for_review","High-frequency interpretation term."
"G078","report","pathology","骨髓增殖性疾病","Myeloproliferative Disorder","Trastorno mieloproliferativo","Trouble myeloproliferatif","Myeloproliferative Erkrankung","Disturbo mieloproliferativo","Disturbio mieloproliferativo","Миелопролиферативное заболевание","Miyeloproliferatif hastalik","BA512 veterinary AI reports","draft_for_review","High-frequency interpretation term."
"G079","report","pathology","白血病","Leukemia","Leucemia","Leucemie","Leukamie","Leucemia","Leucemia","Лейкоз","Lösemi","BA512 veterinary AI reports","draft_for_review","High-frequency interpretation term."
"G080","report","pathology","子宫蓄脓","Pyometra","Piometra","Pyometre","Pyometra","Piometra","Piometra","Пиометра","Pyometra","BA512 veterinary AI reports","draft_for_review","Veterinary interpretation term."
"G081","report","pharmacology","糖皮质激素","Glucocorticoids","Glucocorticoides","Glucocorticoides","Glukokortikoide","Glucocorticoidi","Glicocorticoides","Глюкокортикоиды","Glukokortikoidler","BA512 veterinary AI reports","draft_for_review","Frequent causative factor in leukocyte interpretations."
"G082","report","pharmacology","皮质醇","Cortisol","Cortisol","Cortisol","Cortisol","Cortisolo","Cortisol","Кортизол","Kortizol","BA512 veterinary AI reports","draft_for_review","Frequent causative factor in veterinary interpretations."
"G083","report","phrase","提示可能存在","May suggest the presence of","Puede sugerir la presencia de","Peut suggerer la presence de","Kann auf das Vorliegen von hinweisen","Puo suggerire la presenza di","Pode sugerir a presenca de","Может указывать на наличие","Varligina isaret edebilir","BA212/BA512 AI reports","draft_for_review","High-frequency interpretive phrase."
"G084","report","phrase","提示存在","Suggests the presence of","Sugiere la presencia de","Suggere la presence de","Weist auf das Vorliegen von hin","Suggerisce la presenza di","Sugere a presenca de","Указывает на наличие","Varligini dusundurur","BA212/BA512 AI reports","draft_for_review","High-frequency interpretive phrase."
"G085","report","phrase","常见于","Commonly seen in","Comun en","Frequent dans","Haufig bei","Comune in","Comum em","Часто встречается при","Siklikla gorulur","BA212/BA512 AI reports","draft_for_review","High-frequency interpretive phrase."
"G086","report","phrase","可见于","May be seen in","Puede verse en","Peut etre observe dans","Kann beobachtet werden bei","Puo essere osservato in","Pode ser observado em","Может наблюдаться при","Gorulebilir","BA212/BA512 AI reports","draft_for_review","High-frequency interpretive phrase."
"G087","report","phrase","通常反映","Usually reflects","Suele reflejar","Reflete habituellement","Spiegelt in der Regel wider","Di solito riflette","Geralmente reflete","Обычно отражает","Genellikle yansitir","BA212/BA512 AI reports","draft_for_review","High-frequency interpretive phrase."
"G088","report","pathology","组织损伤","Tissue Injury","Lesion tisular","Lesion tissulaire","Gewebeschadigung","Danno tissutale","Lesao tecidual","Повреждение тканей","Doku hasari","BA212/BA512 AI reports","draft_for_review","Common cause term in report explanations."
"G089","report","pathology","坏死","Necrosis","Necrosis","Necrose","Nekrose","Necrosi","Necrose","Некроз","Nekroz","BA212/BA512 AI reports","draft_for_review","Common cause term in report explanations."
"G090","report","pathology","组织坏死","Tissue Necrosis","Necrosis tisular","Necrose tissulaire","Gewebenekrose","Necrosi tissutale","Necrose tecidual","Некроз тканей","Doku nekrozu","BA212/BA512 AI reports","draft_for_review","Common cause term in report explanations."
"G091","report","pathology","骨髓抑制","Bone Marrow Suppression","Supresion de la medula osea","Suppression de la moelle osseuse","Knochenmarksuppression","Soppressione del midollo osseo","Supressao da medula ossea","Подавление костного мозга","Kemik iligi baskilanmasi","BA212/BA512 AI reports","draft_for_review","Common interpretation term."
"G092","report","pathology","慢性粒细胞白血病","Chronic Myeloid Leukemia","Leucemia mieloide cronica","Leucemie myeloide chronique","Chronische myeloische Leukamie","Leucemia mieloide cronica","Leucemia mieloide cronica","Хронический миелоидный лейкоз","Kronik miyeloid losemi","BA512 veterinary AI reports","draft_for_review","Specific high-frequency disease term."
"G093","report","pathology","集落刺激因子","Colony-Stimulating Factor","Factor estimulante de colonias","Facteur de stimulation des colonies","Koloniestimulierender Faktor","Fattore stimolante le colonie","Fator estimulador de colonias","Колониестимулирующий фактор","Koloni uyarici faktor","BA512 veterinary AI reports","draft_for_review","Frequent cause term in leukocyte explanations."
"G094","report","pathology","肾盂肾炎","Pyelonephritis","Pielonefritis","Pyelonephrite","Pyelonephritis","Pielonefrite","Pielonefrite","Пиелонефрит","Piyelonefrit","BA512 veterinary AI reports","draft_for_review","Veterinary infection example."
"G095","report","pathology","蜂窝织炎","Cellulitis","Celulitis","Cellulite infectieuse","Cellulitis","Cellulite","Celulite","Флегмона","Selulit","BA512 veterinary AI reports","draft_for_review","Veterinary infection example."
"G096","report","pathology","病理性应激","Pathological Stress","Estres patologico","Stress pathologique","Pathologischer Stress","Stress patologico","Estresse patologico","Патологический стресс","Patolojik stres","BA212/BA512 AI reports","draft_for_review","Common cause term in report explanations."
"G097","report","pathology","血液系统疾病","Hematologic Disorder","Trastorno hematologico","Affection hematologique","Hamatische Erkrankung","Disturbo ematologico","Disturbio hematologico","Гематологическое заболевание","Hematolojik hastalik","BA212/BA512 AI reports","draft_for_review","Common umbrella diagnosis term."
"G098","manual","section","包装规格","Packaging Specifications","Especificaciones de empaque","Specifications d'emballage","Verpackungsspezifikationen","Specifiche di confezionamento","Especificacoes de embalagem","Характеристики упаковки","Ambalaj ozellikleri","QC IFU","draft_for_review","QC/IFU heading."
"G099","manual","section","预期用途","Intended Use","Uso previsto","Utilisation prevue","Verwendungszweck","Uso previsto","Uso pretendido","Предназначение","Amaclanan kullanim","QC IFU","draft_for_review","QC/IFU heading."
